2017-05-11 17:04:18,823 [Worker-34] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.demo.film:mybatis-generator:1.0-SNAPSHOT @ D:\workspace_server_javaweb02\javaWeb\MyBatisGenerator\pom.xml.
2017-05-11 17:04:19,295 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-11 17:04:19,296 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-11 17:04:19,298 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-11 17:04:19,299 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-11 17:04:20,501 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-11 17:04:20,502 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-11 17:04:20,505 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-11 17:04:20,505 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-11 17:05:46,209 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.demo.film:mybatis-generator:1.0-SNAPSHOT @ D:\workspace_server_javaweb02\javaWeb\MyBatisGenerator\pom.xml.
2017-05-11 17:05:46,235 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-11 17:05:46,236 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-11 17:05:46,238 [Worker-32] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-11 17:05:46,239 [Worker-32] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-11 17:06:28,138 [Worker-34] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-05-11 17:06:28,175 [Worker-34] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.demo.film:mybatis-generator:1.0-SNAPSHOT @ D:\workspace_server_javaweb02\javaWeb\MyBatisGenerator\pom.xml.
2017-05-11 17:06:28,198 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyBatisGenerator/src/main/java
2017-05-11 17:06:28,199 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MyBatisGenerator/src/main/resources
2017-05-11 17:06:28,199 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /MyBatisGenerator/src/test/java
2017-05-11 17:06:28,199 [Worker-34] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /MyBatisGenerator/src/test/resources
2017-05-11 17:06:28,252 [Worker-34] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-05-11 17:06:28,824 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-11 17:06:28,825 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-11 17:06:28,827 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-11 17:06:28,828 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-11 17:10:06,765 [Worker-36] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\workspace_server_javaweb02\javaWeb\MyBatisGenerator
2017-05-11 17:10:06,766 [Worker-36] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B generate-sources
2017-05-11 17:10:55,243 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-05-11 17:11:11,652 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-11 17:11:11,653 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-11 17:11:11,654 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
